"Ad name",Day,"Delivery status","Delivery level","Ad set name","Attribution setting","Result type",Results,Reach,Impressions,"Cost per result","Quality ranking","Engagement rate ranking","Conversion rate ranking","Amount spent (EUR)","Result rate","CPM (cost per 1,000 impressions)",Frequency,"Reporting starts","Reporting ends"
"Bild 2 // Mehr dazu",2026-01-07,not_delivering,ad,"VON POLL Berlin-Nikolassee // Spanische Allee // Voroptimierte Leads // Adv + Kampagne_3 Anzeigengruppe","7-day click or 1-day view","Leads (form)",4,2192,2384,4.3,-,-,-,17.2,0.16778523,7.2147651,1.08759124,2026-01-07,2026-01-07
"Bild 2 // Mehr dazu",2026-01-02,not_delivering,ad,"VON POLL Berlin-Nikolassee // Spanische Allee // Voroptimierte Leads // Adv + Kampagne_3 Anzeigengruppe","7-day click or 1-day view",,,2289,2599,,-,-,-,16.79,,6.46017699,1.13543032,2026-01-02,2026-01-02
"TH-Reel 2 // Mehr dazu",2025-12-15,not_delivering,ad,"VON POLL Berlin-Nikolassee // Spanische Allee // Voroptimierte Leads // Adv + Kampagne_2 Anzeigengruppe","7-day click or 1-day view",,,1207,1366,,-,-,-,15.21,,11.13469985,1.13173157,2025-12-15,2025-12-15
"Bild 2 // Mehr dazu",2026-01-08,not_delivering,ad,"VON POLL Berlin-Nikolassee // Spanische Allee // Voroptimierte Leads // Adv + Kampagne_3 Anzeigengruppe","7-day click or 1-day view","Leads (form)",2,1507,1648,7.585,-,-,-,15.17,0.12135922,9.20509709,1.09356337,2026-01-08,2026-01-08
"Bild 2 // Mehr dazu",2026-01-09,not_delivering,ad,"VON POLL Berlin-Nikolassee // Spanische Allee // Voroptimierte Leads // Adv + Kampagne_3 Anzeigengruppe","7-day click or 1-day view",,,1398,1537,,-,-,-,13.8,,8.9785296,1.09942775,2026-01-09,2026-01-09
"Bild 1 // Mehr dazu",2026-01-02,not_delivering,ad,"VON POLL Berlin-Nikolassee // Spanische Allee // Voroptimierte Leads // Adv + Kampagne_3 Anzeigengruppe","7-day click or 1-day view","Leads (form)",4,3067,3526,3.415,-,-,-,13.66,0.11344299,3.87407828,1.14965765,2026-01-02,2026-01-02
"Bild 2 // Mehr dazu",2026-01-10,not_delivering,ad,"VON POLL Berlin-Nikolassee // Spanische Allee // Voroptimierte Leads // Adv + Kampagne_3 Anzeigengruppe","7-day click or 1-day view",,,1516,1591,,-,-,-,12.87,,8.08925204,1.0494723,2026-01-10,2026-01-10
"Bild 2 // Mehr dazu",2025-12-27,not_delivering,ad,"VON POLL Berlin-Nikolassee // Spanische Allee // Voroptimierte Leads // Adv + Kampagne_3 Anzeigengruppe","7-day click or 1-day view","Leads (form)",2,914,1096,6.36,-,-,-,12.72,0.18248175,11.60583942,1.19912473,2025-12-27,2025-12-27
"Carousel 1 // Mehr dazu",2025-12-26,not_delivering,ad,"VON POLL Berlin-Nikolassee // Spanische Allee // Voroptimierte Leads // Adv + Kampagne_3 Anzeigengruppe","7-day click or 1-day view","Leads (form)",1,951,1080,11.87,Average,"Above average","Above average",11.87,0.09259259,10.99074074,1.13564669,2025-12-26,2025-12-26
"Bild 1 // Mehr dazu",2025-12-27,not_delivering,ad,"VON POLL Berlin-Nikolassee // Spanische Allee // Voroptimierte Leads // Adv + Kampagne_3 Anzeigengruppe","7-day click or 1-day view","Leads (form)",1,1290,1507,11.71,-,-,-,11.71,0.066357,7.77040478,1.16821705,2025-12-27,2025-12-27
"Bild 1 // Mehr dazu",2025-12-28,not_delivering,ad,"VON POLL Berlin-Nikolassee // Spanische Allee // Voroptimierte Leads // Adv + Kampagne_3 Anzeigengruppe","7-day click or 1-day view","Leads (form)",3,1288,1503,3.75666667,-,-,-,11.27,0.1996008,7.49833666,1.16692547,2025-12-28,2025-12-28
"Bild 2 // Mehr dazu",2026-01-12,not_delivering,ad,"VON POLL Berlin-Nikolassee // Spanische Allee // Voroptimierte Leads // Adv + Kampagne_3 Anzeigengruppe","7-day click or 1-day view",,,1225,1367,,-,-,-,11.14,,8.14923189,1.11591837,2026-01-12,2026-01-12
"TH-Reel 2 // Mehr dazu",2025-12-16,not_delivering,ad,"VON POLL Berlin-Nikolassee // Spanische Allee // Voroptimierte Leads // Adv + Kampagne_2 Anzeigengruppe","7-day click or 1-day view",,,676,731,,-,-,-,10.83,,14.81532148,1.08136095,2025-12-16,2025-12-16
"Bild 2 // Mehr dazu",2026-01-11,not_delivering,ad,"VON POLL Berlin-Nikolassee // Spanische Allee // Voroptimierte Leads // Adv + Kampagne_3 Anzeigengruppe","7-day click or 1-day view","Leads (form)",1,1454,1537,10.68,-,-,-,10.68,0.06506181,6.94860117,1.05708391,2026-01-11,2026-01-11
"Bild 1 // Mehr dazu",2025-12-29,not_delivering,ad,"VON POLL Berlin-Nikolassee // Spanische Allee // Voroptimierte Leads // Adv + Kampagne_3 Anzeigengruppe","7-day click or 1-day view","Leads (form)",1,1234,1526,10.44,-,-,-,10.44,0.0655308,6.84141547,1.23662885,2025-12-29,2025-12-29
"Bild 2 // Mehr dazu",2026-01-05,not_delivering,ad,"VON POLL Berlin-Nikolassee // Spanische Allee // Voroptimierte Leads // Adv + Kampagne_3 Anzeigengruppe","7-day click or 1-day view","Leads (form)",1,1162,1304,10.18,-,-,-,10.18,0.07668712,7.80674847,1.1222031,2026-01-05,2026-01-05
"Bild 2 // Mehr dazu",2026-01-03,not_delivering,ad,"VON POLL Berlin-Nikolassee // Spanische Allee // Voroptimierte Leads // Adv + Kampagne_3 Anzeigengruppe","7-day click or 1-day view","Leads (form)",2,1279,1458,4.81,-,-,-,9.62,0.13717421,6.59807956,1.13995309,2026-01-03,2026-01-03
"Bild 1 // Mehr dazu",2026-01-01,not_delivering,ad,"VON POLL Berlin-Nikolassee // Spanische Allee // Voroptimierte Leads // Adv + Kampagne_3 Anzeigengruppe","7-day click or 1-day view","Leads (form)",2,1922,2236,4.445,-,-,-,8.89,0.08944544,3.97584973,1.16337149,2026-01-01,2026-01-01
"Bild 2 // Mehr dazu",2026-01-13,not_delivering,ad,"VON POLL Berlin-Nikolassee // Spanische Allee // Voroptimierte Leads // Adv + Kampagne_3 Anzeigengruppe","7-day click or 1-day view",,,817,878,,-,-,-,8.53,,9.71526196,1.0746634,2026-01-13,2026-01-13
"Bild 1 // Mehr dazu",2025-12-31,not_delivering,ad,"VON POLL Berlin-Nikolassee // Spanische Allee // Voroptimierte Leads // Adv + Kampagne_3 Anzeigengruppe","7-day click or 1-day view",,,942,1066,,-,-,-,6.7,,6.28517824,1.13163482,2025-12-31,2025-12-31
"Bild 2 // Mehr dazu",2026-01-04,not_delivering,ad,"VON POLL Berlin-Nikolassee // Spanische Allee // Voroptimierte Leads // Adv + Kampagne_3 Anzeigengruppe","7-day click or 1-day view","Leads (form)",1,829,901,6.46,-,-,-,6.46,0.11098779,7.16981132,1.08685163,2026-01-04,2026-01-04
"Bild 1 // Mehr dazu",2025-12-30,not_delivering,ad,"VON POLL Berlin-Nikolassee // Spanische Allee // Voroptimierte Leads // Adv + Kampagne_3 Anzeigengruppe","7-day click or 1-day view",,,807,902,,-,-,-,5.75,,6.37472284,1.11771995,2025-12-30,2025-12-30
"Bild 1 // Mehr dazu",2026-01-14,not_delivering,ad,"VON POLL Berlin-Nikolassee // Spanische Allee // Voroptimierte Leads // Adv + Kampagne_3 Anzeigengruppe","7-day click or 1-day view","Leads (form)",1,754,824,5.68,-,-,-,5.68,0.12135922,6.89320388,1.0928382,2026-01-14,2026-01-14
"Carousel 1 // Mehr dazu",2025-12-11,not_delivering,ad,"VON POLL Berlin-Nikolassee // Spanische Allee // Voroptimierte Leads // Adv + Kampagne_2 Anzeigengruppe","7-day click or 1-day view",,,238,311,,-,-,-,3.53,,11.35048232,1.30672269,2025-12-11,2025-12-11
"Carousel 1 // Mehr dazu",2025-12-12,not_delivering,ad,"VON POLL Berlin-Nikolassee // Spanische Allee // Voroptimierte Leads // Adv + Kampagne_2 Anzeigengruppe","7-day click or 1-day view",,,190,223,,-,-,-,3.5,,15.69506726,1.17368421,2025-12-12,2025-12-12
"Carousel 1 // Mehr dazu",2025-12-14,not_delivering,ad,"VON POLL Berlin-Nikolassee // Spanische Allee // Voroptimierte Leads // Adv + Kampagne_2 Anzeigengruppe","7-day click or 1-day view",,,160,171,,-,-,-,3.49,,20.40935673,1.06875,2025-12-14,2025-12-14
"Carousel 1 // Mehr dazu",2025-12-10,not_delivering,ad,"VON POLL Berlin-Nikolassee // Spanische Allee // Voroptimierte Leads // Adv + Kampagne_2 Anzeigengruppe","7-day click or 1-day view","Leads (form)",1,116,153,2.89,-,-,-,2.89,0.65359477,18.88888889,1.31896552,2025-12-10,2025-12-10
"SCN-Reel // Mehr dazu",2025-12-30,not_delivering,ad,"VON POLL Berlin-Nikolassee // Spanische Allee // Voroptimierte Leads // Adv + Kampagne_3 Anzeigengruppe","7-day click or 1-day view","Leads (form)",1,146,168,2.19,-,-,-,2.19,0.5952381,13.03571429,1.15068493,2025-12-30,2025-12-30
"SCN-Reel // Mehr dazu",2025-12-27,not_delivering,ad,"VON POLL Berlin-Nikolassee // Spanische Allee // Voroptimierte Leads // Adv + Kampagne_3 Anzeigengruppe","7-day click or 1-day view","Leads (form)",1,158,176,2.1,-,-,-,2.1,0.56818182,11.93181818,1.11392405,2025-12-27,2025-12-27
"SCN-Reel // Mehr dazu",2025-12-28,not_delivering,ad,"VON POLL Berlin-Nikolassee // Spanische Allee // Voroptimierte Leads // Adv + Kampagne_3 Anzeigengruppe","7-day click or 1-day view",,,127,146,,-,-,-,1.92,,13.15068493,1.1496063,2025-12-28,2025-12-28
"Bild 2 // Mehr dazu",2025-12-26,not_delivering,ad,"VON POLL Berlin-Nikolassee // Spanische Allee // Voroptimierte Leads // Adv + Kampagne_3 Anzeigengruppe","7-day click or 1-day view",,,189,202,,-,-,-,1.92,,9.5049505,1.06878307,2025-12-26,2025-12-26
"SCN-Reel // Mehr dazu",2025-12-31,not_delivering,ad,"VON POLL Berlin-Nikolassee // Spanische Allee // Voroptimierte Leads // Adv + Kampagne_3 Anzeigengruppe","7-day click or 1-day view",,,164,176,,-,-,-,1.91,,10.85227273,1.07317073,2025-12-31,2025-12-31
"Bild 2 // Mehr dazu",2026-01-14,not_delivering,ad,"VON POLL Berlin-Nikolassee // Spanische Allee // Voroptimierte Leads // Adv + Kampagne_3 Anzeigengruppe","7-day click or 1-day view",,,187,198,,-,-,-,1.71,,8.63636364,1.05882353,2026-01-14,2026-01-14
"Carousel 1 // Mehr dazu",2026-01-07,not_delivering,ad,"VON POLL Berlin-Nikolassee // Spanische Allee // Voroptimierte Leads // Adv + Kampagne_3 Anzeigengruppe","7-day click or 1-day view","Leads (form)",1,175,203,1.62,-,-,-,1.62,0.49261084,7.98029557,1.16,2026-01-07,2026-01-07
"SCN-Reel // Mehr dazu",2025-12-29,not_delivering,ad,"VON POLL Berlin-Nikolassee // Spanische Allee // Voroptimierte Leads // Adv + Kampagne_3 Anzeigengruppe","7-day click or 1-day view","Leads (form)",1,81,104,1.57,-,-,-,1.57,0.96153846,15.09615385,1.28395062,2025-12-29,2025-12-29
"SCN-Reel // Mehr dazu",2026-01-02,not_delivering,ad,"VON POLL Berlin-Nikolassee // Spanische Allee // Voroptimierte Leads // Adv + Kampagne_3 Anzeigengruppe","7-day click or 1-day view","Leads (form)",1,208,222,1.36,-,-,-,1.36,0.45045045,6.12612613,1.06730769,2026-01-02,2026-01-02
