"Ad name",Day,"Delivery status","Delivery level","Ad set name","Attribution setting","Result type",Results,Reach,Impressions,"Cost per result","Quality ranking","Engagement rate ranking","Conversion rate ranking","Amount spent (EUR)","Result rate","CPM (cost per 1,000 impressions)",Frequency,"Reporting starts","Reporting ends"
"TH-Reel // Mehr dazu",2026-01-01,not_delivering,ad,"VON POLL Berlin-Nikolassee // Spanische Allee // Voroptimierte Leads // Adv + Kampagne_3 Anzeigengruppe","7-day click or 1-day view",,,55,61,,-,-,-,0.42,,6.8852459,1.10909091,2026-01-01,2026-01-01
"Carousel 1 // Mehr dazu",2025-12-30,not_delivering,ad,"VON POLL Berlin-Nikolassee // Spanische Allee // Voroptimierte Leads // Adv + Kampagne_3 Anzeigengruppe","7-day click or 1-day view",,,29,35,,-,-,-,0.4,,11.42857143,1.20689655,2025-12-30,2025-12-30
"SCN-Reel // Mehr dazu",2026-01-05,not_delivering,ad,"VON POLL Berlin-Nikolassee // Spanische Allee // Voroptimierte Leads // Adv + Kampagne_3 Anzeigengruppe","7-day click or 1-day view",,,66,70,,-,-,-,0.38,,5.42857143,1.06060606,2026-01-05,2026-01-05
"Carousel 1 // Mehr dazu",2026-01-09,not_delivering,ad,"VON POLL Berlin-Nikolassee // Spanische Allee // Voroptimierte Leads // Adv + Kampagne_3 Anzeigengruppe","7-day click or 1-day view",,,50,65,,-,-,-,0.37,,5.69230769,1.3,2026-01-09,2026-01-09
"Carousel 1 // Mehr dazu",2026-01-11,not_delivering,ad,"VON POLL Berlin-Nikolassee // Spanische Allee // Voroptimierte Leads // Adv + Kampagne_3 Anzeigengruppe","7-day click or 1-day view",,,66,71,,-,-,-,0.35,,4.92957746,1.07575758,2026-01-11,2026-01-11
"TH-Reel // Mehr dazu",2026-01-02,not_delivering,ad,"VON POLL Berlin-Nikolassee // Spanische Allee // Voroptimierte Leads // Adv + Kampagne_3 Anzeigengruppe","7-day click or 1-day view",,,35,35,,-,-,-,0.35,,10,1,2026-01-02,2026-01-02
"SCN-Reel // Mehr dazu",2026-01-11,not_delivering,ad,"VON POLL Berlin-Nikolassee // Spanische Allee // Voroptimierte Leads // Adv + Kampagne_3 Anzeigengruppe","7-day click or 1-day view",,,37,39,,-,-,-,0.31,,7.94871795,1.05405405,2026-01-11,2026-01-11
"Carousel 1 // Mehr dazu",2026-01-02,not_delivering,ad,"VON POLL Berlin-Nikolassee // Spanische Allee // Voroptimierte Leads // Adv + Kampagne_3 Anzeigengruppe","7-day click or 1-day view",,,48,53,,-,-,-,0.29,,5.47169811,1.10416667,2026-01-02,2026-01-02
"SCN-Reel // Mehr dazu",2026-01-10,not_delivering,ad,"VON POLL Berlin-Nikolassee // Spanische Allee // Voroptimierte Leads // Adv + Kampagne_3 Anzeigengruppe","7-day click or 1-day view",,,25,27,,-,-,-,0.28,,10.37037037,1.08,2026-01-10,2026-01-10
"SCN-Reel // Mehr dazu",2026-01-07,not_delivering,ad,"VON POLL Berlin-Nikolassee // Spanische Allee // Voroptimierte Leads // Adv + Kampagne_3 Anzeigengruppe","7-day click or 1-day view",,,34,37,,-,-,-,0.27,,7.2972973,1.08823529,2026-01-07,2026-01-07
