"Ad name",Day,"Delivery status","Delivery level","Ad set name","Attribution setting","Result type",Results,Reach,Impressions,"Cost per result","Quality ranking","Engagement rate ranking","Conversion rate ranking","Amount spent (EUR)","Result rate","CPM (cost per 1,000 impressions)",Frequency,"Reporting starts","Reporting ends"
"TH-Reel // Mehr dazu",2025-12-02,not_delivering,ad,"IF // Hamburg (+ 19km) , DE, ENG // Feeds, Stories, Reels, In-Stream, Suche","7-day click or 1-day view",,,141,143,,-,-,-,2.77,,19.37062937,1.0141844,2025-12-02,2025-12-02
"TH-Reel // Mehr dazu",2026-01-27,active,ad,"VON POLL Berlin-Pankow // Friedrich-Engels-Straße // Voroptimierte Leads // Adv + Anzeigengruppe","7-day click or 1-day view",,,218,239,,-,-,-,2.7,,11.29707113,1.09633028,2026-01-27,2026-01-27
"TH-Reel // Mehr dazu",2025-11-26,not_delivering,ad,"IF // Hamburg (+ 19km) , DE, ENG // Feeds, Stories, Reels, In-Stream, Suche","7-day click or 1-day view",,,121,122,,-,-,-,2.68,,21.96721311,1.00826446,2025-11-26,2025-11-26
"TH-Reel // Mehr dazu",2025-12-07,not_delivering,ad,"NEUBAUTEAM // Osterstraße // Voroptimierte Leads // Adv +","7-day click or 1-day view",,,114,116,,-,-,-,2.68,,23.10344828,1.01754386,2025-12-07,2025-12-07
"Carousel 1 // Mehr dazu",2025-12-03,not_delivering,ad,"NEUBAUTEAM // Oelkersallee // Voroptimierte Leads // Adv +","7-day click or 1-day view",,,109,109,,-,-,-,2.67,,24.49541284,1,2025-12-03,2025-12-03
"Bild 1 // Mehr dazu",2026-01-25,active,ad,"Andresen & Co. Immobilien // Apartmentanlage in Westerland // Voroptimierte Leads // Adv + Anzeigengruppe","7-day click or 1-day view","Leads (form)",1,352,367,2.62,-,-,-,2.62,0.27247956,7.13896458,1.04261364,2026-01-25,2026-01-25
"SCN-Reel // Mehr dazu",2026-01-14,active,ad,"Andresen & Co. Immobilien // Apartmentanlage in Westerland // Voroptimierte Leads // Adv + Anzeigengruppe","7-day click or 1-day view",,,212,242,,-,-,-,2.55,,10.53719008,1.14150943,2026-01-14,2026-01-14
"Carousel 1 // Mehr dazu",2025-11-24,not_delivering,ad,"NEUBAUTEAM // Oelkersallee // Voroptimierte Leads // Adv +","7-day click or 1-day view",,,124,132,,-,-,-,2.41,,18.25757576,1.06451613,2025-11-24,2025-11-24
"SCN-Reel // Mehr dazu",2026-01-15,active,ad,"Andresen & Co. Immobilien // Apartmentanlage in Westerland // Voroptimierte Leads // Adv + Anzeigengruppe","7-day click or 1-day view",,,161,176,,-,-,-,2.4,,13.63636364,1.0931677,2026-01-15,2026-01-15
"Single Image 2 // Mehr dazu",2026-01-18,active,ad,"VON POLL Berlin-Pankow // Friedrich-Engels-Straße // Voroptimierte Leads // Adv + Anzeigengruppe","7-day click or 1-day view",,,280,321,,-,-,-,2.38,,7.41433022,1.14642857,2026-01-18,2026-01-18
"Carousel 1 // Mehr dazu",2025-12-03,not_delivering,ad,"Andresen & Co. Immobilien // Norder Wung // Voroptimierte Leads // Adv +","7-day click or 1-day view",,,90,91,,-,-,-,2.33,,25.6043956,1.01111111,2025-12-03,2025-12-03
"Single Image 2 // Mehr dazu",2026-01-25,active,ad,"VON POLL Berlin-Pankow // Friedrich-Engels-Straße // Voroptimierte Leads // Adv + Anzeigengruppe","7-day click or 1-day view",,,200,236,,-,-,-,2.26,,9.57627119,1.18,2026-01-25,2026-01-25
"Single Image 2 // Mehr dazu",2026-01-23,active,ad,"VON POLL Berlin-Pankow // Friedrich-Engels-Straße // Voroptimierte Leads // Adv + Anzeigengruppe","7-day click or 1-day view",,,209,238,,-,-,-,2.17,,9.11764706,1.13875598,2026-01-23,2026-01-23
"SCN-Reel // Mehr dazu",2026-01-26,active,ad,"Andresen & Co. Immobilien // Apartmentanlage in Westerland // Voroptimierte Leads // Adv + Anzeigengruppe","7-day click or 1-day view",,,153,167,,-,-,-,2.17,,12.99401198,1.09150327,2026-01-26,2026-01-26
"TH-Reel // Mehr dazu",2026-01-20,active,ad,"VON POLL Berlin-Pankow // Friedrich-Engels-Straße // Voroptimierte Leads // Adv + Anzeigengruppe","7-day click or 1-day view",,,237,246,,-,-,-,2.13,,8.65853659,1.03797468,2026-01-20,2026-01-20
"Single Image 2 // Mehr dazu",2026-01-24,active,ad,"VON POLL Berlin-Pankow // Friedrich-Engels-Straße // Voroptimierte Leads // Adv + Anzeigengruppe","7-day click or 1-day view",,,176,204,,-,-,-,2.09,,10.24509804,1.15909091,2026-01-24,2026-01-24
"TH-Reel // Mehr dazu",2025-12-03,not_delivering,ad,"NEUBAUTEAM // Oelkersallee // Voroptimierte Leads // Adv +","7-day click or 1-day view",,,84,85,,-,-,-,2.08,,24.47058824,1.01190476,2025-12-03,2025-12-03
